ODB Name,Step,Frame,Part Instance Name, Element Label,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,         S-S11,         S-S22,         S-S12
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            45,            50,          338.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -9.56015,      -2.48563,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            45,            51,          340.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -9.04339,      -2.35127,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            46,            51,          340.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -9.04339,      -2.35127,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            47,            52,          342.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -8.52663,      -2.21691,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            46,            52,          342.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -8.52663,      -2.21691,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            47,            53,          344.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -8.00986,      -2.08255,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            48,            53,          344.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -8.00986,      -2.08255,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            49,            54,          346.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -7.49310,      -1.94820,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            48,            54,          346.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -7.49310,      -1.94820,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            49,            55,          348.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -6.97634,      -1.81384,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            50,            55,          348.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -6.97634,      -1.81384,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            51,            56,          350.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -6.45958,      -1.67948,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            50,            56,          350.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -6.45958,      -1.67948,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            52,            57,          352.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -5.94281,      -1.54512,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            51,            57,          352.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -5.94281,      -1.54512,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            53,            58,          354.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -5.42605,      -1.41076,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            52,            58,          354.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -5.42605,      -1.41076,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            53,            59,          356.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -4.90929,      -1.27640,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            54,            59,          356.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -4.90929,      -1.27640,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            55,            60,          358.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -4.39252,      -1.14205,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            54,            60,          358.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -4.39252,      -1.14205,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            56,            61,          360.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -3.87576,      -1.00769,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            55,            61,          360.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -3.87576,      -1.00769,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            57,            62,          362.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -3.35900,  -873.329E-03,   233.405E-03
